technischer Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name Planungsraum;anrechenbar Grünflächenversorgung
00008100:001042cc;24;Reinickendorf;Frohnau;Grünanlage;Poloplatz;-;-;-;33447;gewidmet;12231102;Frohnau;1
00008100:00104113;1012;Reinickendorf;Wittenau;Grünanlage;Spießweg zur Dorfaue, Durchg. Altenheim;-;-;-;2031;gewidmet;12301204;Wittenau-Nord;1
00008100:0010445a;467;Reinickendorf;Reinickendorf;Grünanlage;Lienemannstr., Parkplatz u. Anlage;-;-;-;876;gewidmet;12214423;Mellerbogen;0
00008100:001041f1;840;Reinickendorf;Tegel;Grünanlage;Waidmannsluster Damm,;Am Schwedenhaus;-;-;1542;gewidmet;12304314;Ziekowstraße/Freie Scholle;0
00008100:0010460c;1225;Reinickendorf;Tegel;Grünanlage;Grünanlage, zw. Kol. Am Wanderweg u. JVA;-;-;-;10229;gewidmet;12214125;Waldidyll/Flughafensee;1
00008100:0010452f;35095;Reinickendorf;Tegel;Grünanlage;Mäckeritzwiesen, Vor den Toren IV;Grünanlage;-;-;42149;gewidmet;12214125;Waldidyll/Flughafensee;1
00008100:001043da;1444;Reinickendorf;Heiligensee;Grünanlage;Alt-Heiligensee 111, Aussichtsplattform;-;-;-;1448;gewidmet;12224230;Heiligensee;0
00008100:001045e1;1364;Reinickendorf;Konradshöhe/Tegelort;Grünanlage;Gerlindeweg/Friederikestr.;-;-;-;1404;gewidmet;12214528;Tegeler Forst;0
00008100:001042be;61;Reinickendorf;Frohnau;Grünanlage;Zeltinger Platz;-;-;-;7921;gewidmet;12231102;Frohnau;1
00008100:001041ef;920;Reinickendorf;Märkisches Viertel;Grünanlage;Seggeluchbecken;Grünzug Seggeluchbecken-Senftenberger Ri;-;-;61638;gewidmet;12302108;Märkisches Zentrum;1
00008100:001042cd;16;Reinickendorf;Reinickendorf;Grünanlage;Rosengarten;-;-;-;7680.6;gewidmet;12214423;Mellerbogen;1
00008100:00104434;744;Reinickendorf;Tegel;Grünanlage;Nordgraben, Bollestr.-Gorkistr.;-;-;-;13545.3;gewidmet;12301204;Wittenau-Nord;1
00008100:00104486;602;Reinickendorf;Heiligensee;Grünanlage;Grabs. Hlgs., Wiesengraben;-;-;-;17170;gewidmet;12224230;Heiligensee;1
00008100:00104609;1228;Reinickendorf;Tegel;Grünanlage;Insel Reiswerder m. Schwemmeland;-;-;-;35061;gewidmet;12214528;Tegeler Forst;0
00008100:00104619;1210;Reinickendorf;Borsigwalde;Grünanlage;Borsigwalder Weg,Mirau-Am Nordgr,Wanderw;-;-;-;8253;gewidmet;12301204;Wittenau-Nord;1
00008100:001042d5;31;Reinickendorf;Frohnau;Grünanlage;Enkircher Str./Rüdesheimer Str.;-;-;-;651.9;gewidmet;12231102;Frohnau;0
00008100:001042bb;37;Reinickendorf;Frohnau;Grünanlage;"Im Fischgrund, ""Rosenanger""";Rosenanger;-;-;17002;gewidmet;12231102;Frohnau;1
00008100:001042c3;34;Reinickendorf;Frohnau;Grünanlage;Fürstendamm/Dinkelsbühler Steig, R.A.B.;-;-;-;2034;gewidmet;12231102;Frohnau;0
00008100:001042cf;54;Reinickendorf;Frohnau;Grünanlage;Nibelungenstr./Im Amseltal, R.A.B.;Amselteich;-;-;2851;gewidmet;12231102;Frohnau;0
00008100:001044f2;35561;Reinickendorf;Lübars;Grünanlage;Deilinge Weg, Erholungsfläche;ehem. Kleingartenfläche;-;-;10876;gewidmet;12301206;Lübars;1
00008100:001042d0;51;Reinickendorf;Frohnau;Grünanlage;Neubrücker Str. 7, R.A.B.;Neubrückerteich;-;-;1417;gewidmet;12231102;Frohnau;0
00008100:001044be;1069;Reinickendorf;Hermsdorf;Grünanlage;Alt-Hermsdorf, Dorfaue;-;-;-;6556;gewidmet;12231101;Hermsdorf;1
00008100:00104426;619;Reinickendorf;Reinickendorf;Grünanlage;Simmelstr., Durchg. Pankower Allee;-;-;-;1488;gewidmet;12103117;Letteplatz;0
00008100:001044ab;1101;Reinickendorf;Hermsdorf;Grünanlage;Silvester-/Waldseeweg;ehem. Spielplatz;-;-;918.8;gewidmet;12231101;Hermsdorf;0
00008100:001042b9;41;Reinickendorf;Frohnau;Grünanlage;Konzer Platz;-;-;-;3952;gewidmet;12231102;Frohnau;0
00008100:001042d1;46;Reinickendorf;Frohnau;Grünanlage;Ludwig-Lesser-Park;-;-;-;60180;gewidmet;12231102;Frohnau;1
00008100:001042b4;26;Reinickendorf;Frohnau;Grünanlage;Artuswall/Olwenstr., R.A.B.;Artuspfuhl;-;-;2571;gewidmet;12231102;Frohnau;0
00008100:0010439c;1501;Reinickendorf;Lübars;Grünanlage;Wanderwege Bruchstücken-,Rabehorstgraben;-;-;-;3941.2;gewidmet;12301206;Lübars;0
00008100:001041f8;797;Reinickendorf;Wittenau;Grünanlage;Cyclopstr., Grünanlage;Hermsdorfer Str.-Göschenstr.;-;-;4943;gewidmet;12301204;Wittenau-Nord;0
00008100:001041ec;904;Reinickendorf;Märkisches Viertel;Grünanlage;Schorfheidestr./Dannenwalder Weg;-;-;-;4320;gewidmet;12103218;Teichstraße;0
00008100:0010448d;616;Reinickendorf;Reinickendorf;Grünanlage;Alt-Reinickendorf, Durchgang Lindauer A.;-;-;-;7171;gewidmet;12103218;Teichstraße;1
00008100:001043fb;1376;Reinickendorf;Reinickendorf;Grünanlage;Humboldtstr./Brusebergstr.;-;-;-;4064;gewidmet;12103218;Teichstraße;1
00008100:001044bd;1074;Reinickendorf;Hermsdorf;Grünanlage;Heidenheimerstr., Wanderweg a. Wald;-;-;-;3255;gewidmet;12231101;Hermsdorf;0
00008100:00104217;841;Reinickendorf;Waidmannslust;Grünanlage;Waidmannsluster Damm/Dianastr.;ehem. Antony-Platz;-;-;1804;gewidmet;12301205;Waidmannslust;0
00008100:001041ed;897;Reinickendorf;Märkisches Viertel;Grünanlage;Am Packereigraben; Wittenauer Str./Welzower Steig;-;-;4512;gewidmet;12301206;Lübars;1
00008100:0010420f;839;Reinickendorf;Wittenau;Grünanlage;Rosentreterprom., Wanderweg Hermsd.Str.;-;-;-;4510;gewidmet;12301204;Wittenau-Nord;1
00008100:00104611;1213;Reinickendorf;Tegel;Grünanlage;Bernauerstr./Seidelstr., Lichtenbergpl.;-;-;-;3900;gewidmet;12214125;Waldidyll/Flughafensee;0
00008100:001041f2;791;Reinickendorf;Waidmannslust;Grünanlage;Steinbergpark;-;-;-;311027;gewidmet;12301204;Wittenau-Nord;1
00008100:001045df;1367;Reinickendorf;Reinickendorf;Grünanlage;Waldstr., Grünzug;-;-;-;12940.1;gewidmet;12214421;Reinickes Hof;1
00008100:001044a1;597;Reinickendorf;Heiligensee;Grünanlage;Grabs. Hlgs., Eschengraben;-;-;-;33618;gewidmet;12224230;Heiligensee;1
00008100:00104503;35361;Reinickendorf;Heiligensee;Grünanlage;Sandhauser Str., hinter Friedhof;entwidmete Friedhofsfläche;-;-;20650;gewidmet;12224230;Heiligensee;1
00008100:00104613;1211;Reinickendorf;Tegel;Grünanlage;Breitachzeile;-;-;-;667;gewidmet;12304314;Ziekowstraße/Freie Scholle;0
00008100:00104512;35145;Reinickendorf;Tegel;Grünanlage;Friedhof Am Fließtal, Erweiterungsfläche;Ausgliederung Friedhof;-;-;23316;gewidmet;12304314;Ziekowstraße/Freie Scholle;1
00008100:00104427;633;Reinickendorf;Reinickendorf;Grünanlage;Provinzstr. - Koloniestr.;inkl. Bahnhofplatz;-;-;2197;gewidmet;12103116;Hausotterplatz;0
00008100:001044bb;1063;Reinickendorf;Hermsdorf;Grünanlage;Waldseepark;-;-;-;32487;gewidmet;12231101;Hermsdorf;1
00008100:00104371;1671;Reinickendorf;Lübars;Grünanlage;Zabel-Krüger-Damm 69/71;-;-;-;16543;gewidmet;12301205;Waidmannslust;1
00008100:0010442a;614;Reinickendorf;Reinickendorf;Grünanlage;Breitkopfbecken;-;-;-;14843.4;gewidmet;12103115;Breitkopfbecken;1
00008100:001044bc;1097;Reinickendorf;Waidmannslust;Grünanlage;Albtalweg, NSG;-;-;-;11263;gewidmet;12301205;Waidmannslust;1
00008100:00104621;1179;Reinickendorf;Lübars;Grünanlage;Grünzug MV zum Fließtal;einschl. Klötzebecken;-;-;53862;gewidmet;12301206;Lübars;1
00008100:00104436;627;Reinickendorf;Reinickendorf;Grünanlage;Stargardtstr., Durchgang Mudrackzeile;-;-;-;4430;gewidmet;12103219;Schäfersee;1
00008100:0010453c;35080;Reinickendorf;Reinickendorf;Grünanlage;Saalmannsteig;Grünanlage neben Spielplatz;-;-;2254;gewidmet;12214421;Reinickes Hof;0
00008100:0010460e;1219;Reinickendorf;Tegel;Grünanlage;Sterkrader Str.;-;-;-;4767;gewidmet;12214126;Tegel-Süd;0
00008100:001044f8;35521;Reinickendorf;Reinickendorf;Grünanlage;Kurt-Schumacher-Damm 42;-;-;-;8084;gewidmet;12214125;Waldidyll/Flughafensee;0
00008100:001044eb;35681;Reinickendorf;Waidmannslust;Grünanlage;Gorkistr., Wanderweg an KG Steinberg;-;-;-;20590;gewidmet;12301204;Wittenau-Nord;1
00008100:0010440e;722;Reinickendorf;Tegel;Grünanlage;Freizeitpark Tegel;-;1976;-;50990.3;gewidmet;12214527;Alt-Tegel;1
00008100:00210595;36090;Reinickendorf;Waidmannslust;Grünanlage;Steinbergpark, Rodelbahn;-;-;-;15000;gewidmet;12301204;Wittenau-Nord;1
00008100:001043f6;1392;Reinickendorf;Tegel;Grünanlage;Karolinenstr. 18, Grünanlage;Medical-Park;-;-;12093;gewidmet;12214527;Alt-Tegel;1
00008100:00104485;607;Reinickendorf;Reinickendorf;Grünanlage;Wackerweg, Kolonie;-;-;-;995;gewidmet;12214422;Klixstr.;0
00008100:001044a5;596;Reinickendorf;Heiligensee;Grünanlage;Grabs. Hlgs., Erlengraben;-;-;-;29786;gewidmet;12224230;Heiligensee;1
00008100:001044a4;594;Reinickendorf;Heiligensee;Grünanlage;Grabs. Hlgs., Birkengraben;-;-;-;10383;gewidmet;12224230;Heiligensee;1
00008100:001042df;53;Reinickendorf;Frohnau;Grünanlage;Neubrücker Str./Am Eichenhain, R.A.B.;Eichenpfuhl;-;-;3370;gewidmet;12231102;Frohnau;0
00008100:001044c0;36141;Reinickendorf;Tegel;Grünanlage;Friedhof Am Fließtal, Entwidmungsfläche;Ausgliederung Friedhof;-;-;3781;gewidmet;12304314;Ziekowstraße/Freie Scholle;0
00008100:00104125;1000;Reinickendorf;Wittenau;Grünanlage;Hermsdorfer Str. 9-11;-;-;-;31248;gewidmet;12301204;Wittenau-Nord;1
00008100:0010435f;35054;Reinickendorf;Tegel;Grünanlage;Borsigdamm;-;-;-;67399;gewidmet;12214125;Waldidyll/Flughafensee;1
00008100:00104112;1019;Reinickendorf;Wittenau;Grünanlage;Peter-Witte-Park;Oranienburger Str.-Eichborndamm;-;-;39734;gewidmet;12301203;Wittenau-Süd;1
00008100:00104319;5;Reinickendorf;Reinickendorf;Grünanlage;Berenhorstbecken;-;-;-;2362;gewidmet;12214424;Scharnweberstr.;0
00008100:001044e3;35781;Reinickendorf;Tegel;Grünanlage;Erholungsweg, Sackgasse;-;-;-;200;gewidmet;12304314;Ziekowstraße/Freie Scholle;0
00008100:001042da;66;Reinickendorf;Frohnau;Grünanlage;Mehringer Str./Zeltinger Str., R.A.B.;Mehringteich;-;-;2150;gewidmet;12231102;Frohnau;0
00008100:001043ea;1406;Reinickendorf;Frohnau;Grünanlage;Schönfließer Str./Oranienbg. Ch., R.A.B.;-;-;-;10277;gewidmet;12231102;Frohnau;1
00008100:001042b6;33;Reinickendorf;Frohnau;Grünanlage;Fürstendamm zw. Nr. 57-58;-;-;-;1851;gewidmet;12231102;Frohnau;0
00008100:001042e0;57;Reinickendorf;Frohnau;Grünanlage;Remstaler Str./Gutshofstr.;-;-;-;1118;gewidmet;12231102;Frohnau;0
00008100:001042dc;60;Reinickendorf;Frohnau;Grünanlage;Wiltinger Str., Denkmal;-;-;-;2073;gewidmet;12231102;Frohnau;1
00008100:00104489;623;Reinickendorf;Reinickendorf;Grünanlage;Schäferseepark;-;-;-;59619.1;gewidmet;12103219;Schäfersee;1
00008100:001044d1;36001;Reinickendorf;Lübars;Grünanlage;Wittenauer Str.192;Ecke Alter Bernauer Heerweg;-;-;6156;gewidmet;12301206;Lübars;1
00008100:0010461f;1181;Reinickendorf;Lübars;Grünanlage;Am Wiesenende, Grabenbiotop;-;-;-;739;-;12301206;Lübars;1
00008100:00104620;1180;Reinickendorf;Lübars;Grünanlage;Wittenauer Str., südl. AEG-Siedlung;-;-;-;6837;gewidmet;12301206;Lübars;1
00008100:0010432e;8;Reinickendorf;Lübars;Grünanlage;Freizeitpark Lübars;-;1975;-;459047;gewidmet;12301206;Lübars;1
00008100:0010461d;1187;Reinickendorf;Lübars;Grünanlage;Fließtal, Freibad-Bez.-Grenze;-;-;-;396332;gewidmet;12231101;Hermsdorf;1
00008100:001042c2;30;Reinickendorf;Frohnau;Grünanlage;Brix Genzmer Park;(ehem. Edelhofdamm);-;-;3240;gewidmet;12231102;Frohnau;0
00008100:00104451;733;Reinickendorf;Tegel;Grünanlage;Gorkistr./Basdorfer Zeile,Grünanlage;-;-;-;2726;gewidmet;12304314;Ziekowstraße/Freie Scholle;0
00008100:00104488;599;Reinickendorf;Heiligensee;Grünanlage;Grabs. Hlgs., Lindengraben;-;-;-;19127;gewidmet;12224230;Heiligensee;1
00008100:00104128;998;Reinickendorf;Wittenau;Grünanlage;Alt-Wittenau, Dorfaue;-;-;-;18322;gewidmet;12301203;Wittenau-Süd;1
00008100:00104206;911;Reinickendorf;Märkisches Viertel;Grünanlage;Tramper Weg, Grünanlage am Wanderweg;-;-;-;10825;gewidmet;12302110;Dannenwalder Weg;1
00008100:0010459e;7090;Reinickendorf;Reinickendorf;Grünanlage;Franz-Neumann-Platz;-;-;-;3510;gewidmet;12103117;Letteplatz;0
00008100:001043eb;1404;Reinickendorf;Reinickendorf;Grünanlage;Klemkepark;-;-;-;43924.5;gewidmet;12103115;Breitkopfbecken;1
00008100:0010449a;388;Reinickendorf;Reinickendorf;Grünanlage;Verlängerte Teichstraße;-;-;-;11603.7;gewidmet;12103219;Schäfersee;1
00008100:001043d5;1455;Reinickendorf;Heiligensee;Grünanlage;Im Erpelgrund;-;-;-;38591;gewidmet;12224230;Heiligensee;1
00008100:001045ea;1324;Reinickendorf;Konradshöhe/Tegelort;Grünanlage;Falkenplatz;-;-;-;5795;gewidmet;12224229;Konradshöhe/Tegelort;1
00008100:001045f7;1310;Reinickendorf;Tegel;Grünanlage;Campestr./Holwedestr.;-;-;-;849;gewidmet;12214527;Alt-Tegel;0
00008100:00104614;1226;Reinickendorf;Tegel;Grünanlage;Wanderweg am Hohenzollernkanal;Bernauer Str.-General-Ganeval-Brücke;-;-;111099;gewidmet;12214125;Waldidyll/Flughafensee;0
00008100:0029dc9c;36197;Reinickendorf;Hermsdorf;Grünanlage;Cecilienplatz;-;-;-;-;gewidmet;12231101;Hermsdorf;-
00008100:001042c5;39;Reinickendorf;Frohnau;Grünanlage;Karmeliterweg-Welfenallee, R.A.B.;Welfenteich;-;-;4876;gewidmet;12231102;Frohnau;0
00008100:001042db;52;Reinickendorf;Frohnau;Grünanlage;Neubrücker Str. zw. Nr. 53 u. 57, R.A.B.;Neubrandteich;-;-;2681;gewidmet;12231102;Frohnau;0
00008100:001044ad;1100;Reinickendorf;Hermsdorf;Grünanlage;Seebadstr. 36a, ehem. Tongruben;-;-;-;2280;gewidmet;12231101;Hermsdorf;0
00008100:0010444a;742;Reinickendorf;Tegel;Grünanlage;Fließtal, Karolinenstr.-Oraniendamm;-;-;-;317032;gewidmet;12304314;Ziekowstraße/Freie Scholle;1
00008100:00104246;2183;Reinickendorf;Heiligensee;Grünanlage;Uferwanderweg Oberhavel;-;-;-;31535;gewidmet;12214528;Tegeler Forst;1
00008100:001044b7;1073;Reinickendorf;Hermsdorf;Grünanlage;Heidenheimerstr.;an der Carl-Benz-Oberschule;-;-;4390;gewidmet;12231101;Hermsdorf;0
00008100:0010420e;899;Reinickendorf;Märkisches Viertel;Grünanlage;Finsterwalderstr, Grünzug;Eichorster Weg - Engelroder Weg;-;-;3682;gewidmet;12302108;Märkisches Zentrum;1
00008100:0010420b;916;Reinickendorf;Waidmannslust;Grünanlage;Herrnholzbecken, B 96-Wittenauer Str.;Wanderwege u. Grünanlage;-;-;33508;gewidmet;12302211;Lübarser Straße;1
00008100:0010410b;1009;Reinickendorf;Wittenau;Grünanlage;Rathauspark;-;-;-;17764;gewidmet;12301204;Wittenau-Nord;1
00008100:001044a6;620;Reinickendorf;Reinickendorf;Grünanlage;Brusebergstr., Grünzug Lärchenkamp;-;-;-;16375;gewidmet;12103218;Teichstraße;1
00008100:00104122;1002;Reinickendorf;Wittenau;Grünanlage;Eichborndamm-S-Bahn MV;Wanderweg am Nordgraben;-;-;9061;gewidmet;12301203;Wittenau-Süd;0
00008100:0010439d;1498;Reinickendorf;Reinickendorf;Grünanlage;Armbrustweg;-;-;-;1364;gewidmet;12103115;Breitkopfbecken;1
00008100:001044aa;615;Reinickendorf;Reinickendorf;Grünanlage;Alt-Reinickendorf, Dorfaue;-;-;-;6186;gewidmet;12103218;Teichstraße;1
00008100:00104435;732;Reinickendorf;Tegel;Grünanlage;Tegeler Hafen, Uferpromenade;-;-;-;8891.9;gewidmet;12214527;Alt-Tegel;1
00008100:001042d7;25;Reinickendorf;Frohnau;Grünanlage;An der Buche;-;-;-;351;gewidmet;12231102;Frohnau;0
00008100:001042d4;43;Reinickendorf;Frohnau;Grünanlage;Laurinsteig zw. Nr. 28 u. 30, R.A.B;Laurinteich;-;-;882;gewidmet;12231102;Frohnau;0
00008100:001042b5;49;Reinickendorf;Frohnau;Grünanlage;Maximiliankorso/Sigismundkorso;-;-;-;2892;gewidmet;12231102;Frohnau;0
00008100:001044ee;35641;Reinickendorf;Waidmannslust;Grünanlage;Schluchseestr., Erholungsfläche;vor KG Steintal;-;-;1050;gewidmet;12302211;Lübarser Straße;0
00008100:00104115;1016;Reinickendorf;Wittenau;Grünanlage;Volkspark Wittenau;-;-;-;56447;gewidmet;12301203;Wittenau-Süd;1
00008100:0010448f;477;Reinickendorf;Reinickendorf;Grünanlage;Roedernallee, Alt-Rdf.-Lindauer Allee;-;-;-;3463;gewidmet;12103218;Teichstraße;1
00008100:001041f3;798;Reinickendorf;Waidmannslust;Grünanlage;Dianaplatz, Grünanlage;-;-;-;4734;gewidmet;12301205;Waidmannslust;0
00008100:001044a3;578;Reinickendorf;Heiligensee;Grünanlage;LSG nördl. des Heiligensees;-;-;-;57614;gewidmet;12224230;Heiligensee;1
00008100:00104335;4;Reinickendorf;Reinickendorf;Grünanlage;Fasanenpromenade;-;-;-;11468;gewidmet;12214422;Klixstr.;1
00008100:00104368;35050;Reinickendorf;Tegel;Grünanlage;Uferweg Neheimer Straße;ehem. Tiefbrunnenstrecke;-;-;4429;gewidmet;12214125;Waldidyll/Flughafensee;1
00008100:00104407;724;Reinickendorf;Tegel;Grünanlage;Karolinenstr., Durchgang Schloßstr.;-;-;-;2676;gewidmet;12214527;Alt-Tegel;0
00008100:0010460d;1221;Reinickendorf;Borsigwalde;Grünanlage;Ernststr., verl. Ernstr.;-;-;-;9530;gewidmet;12301204;Wittenau-Nord;1
00008100:00104610;1214;Reinickendorf;Tegel;Grünanlage;Bollestr., Oeserstr.-Borsigaue;-;-;-;3249.7;gewidmet;12304314;Ziekowstraße/Freie Scholle;0
00008100:0010460f;1224;Reinickendorf;Tegel;Grünanlage;Flughafensee;-;-;-;247554;gewidmet;12214125;Waldidyll/Flughafensee;1
00008100:0010461a;1208;Reinickendorf;Tegel;Grünanlage;Berliner Str., Anlage Borsigdenkmal;-;-;-;13777;gewidmet;12214125;Waldidyll/Flughafensee;1
00008100:00214907;36144;Reinickendorf;Tegel;Grünanlage;Am Buddeplatz, neben Spielplatz;-;-;-;424;gewidmet;12214527;Alt-Tegel;0
00008100:0028901c;36194;Reinickendorf;Tegel;Grünanlage;Waidmannsluster Damm, Sackgasse;-;-;-;-;-;-;-;0
00008100:0010438f;1529;Reinickendorf;Reinickendorf;Grünanlage;Hausotterplatz;-;-;-;2123;gewidmet;12103116;Hausotterplatz;0
00008100:001042b8;27;Reinickendorf;Frohnau;Grünanlage;Burgfrauenstr./Im Fischgrund;-;-;-;746;gewidmet;12231102;Frohnau;0
00008100:001042dd;62;Reinickendorf;Frohnau;Grünanlage;Zerndorfer Höhe;-;-;-;61970;gewidmet;12231102;Frohnau;1
00008100:001042ba;38;Reinickendorf;Frohnau;Grünanlage;Karmeliter Weg/Donnersmarkalle, R.A.B.;-;-;-;2397;gewidmet;12231102;Frohnau;0
00008100:001041f0;907;Reinickendorf;Märkisches Viertel;Grünanlage;Senftenberger Ring/Dorfplatz;-;-;-;2640.2;gewidmet;12302108;Märkisches Zentrum;1
00008100:001044cb;35862;Reinickendorf;Lübars;Grünanlage;Quickborner Str. 205;Erholungsfläche;-;-;1041.8;gewidmet;12301206;Lübars;0
00008100:001044c8;35825;Reinickendorf;Lübars;Grünanlage;Wittenauer Str. 214;Ecke Am Klötzgraben 16587;-;-;6587;gewidmet;12301206;Lübars;1
00008100:001045ef;1351;Reinickendorf;Reinickendorf;Grünanlage;Gotthardstr., Scharnweber-Winterthurstr.;-;-;-;28045;gewidmet;12103219;Schäfersee;1
00008100:00104351;35071;Reinickendorf;Märkisches Viertel;Grünanlage;Wilhelmsruher Damm, hinter Kol. Fechner;Wanderweg zur Quickborner Str.;-;-;1726;gewidmet;12302109;Treuenbrietzener Str.;0
00008100:0010444d;473;Reinickendorf;Wittenau;Grünanlage;Oranienburger Str./ Rathauspromenade;-;-;-;2348;gewidmet;12301203;Wittenau-Süd;0
00008100:001044b4;1066;Reinickendorf;Hermsdorf;Grünanlage;Schloßstr. - Wachsmutstr.;Apostel-P.-Kirche;-;-;4943;gewidmet;12231101;Hermsdorf;0
00008100:00104357;35060;Reinickendorf;Wittenau;Grünanlage;Avenue Charles de Gaulle 32-33;hinter Nimrodstr. u. am Packereigraben;-;-;8191;gewidmet;12301204;Wittenau-Nord;1
00008100:0010440f;739;Reinickendorf;Tegel;Grünanlage;Ziekowstr., Fuß-u. Radweg an KG;-;-;-;6462;gewidmet;12304314;Ziekowstraße/Freie Scholle;1
00008100:00104447;745;Reinickendorf;Tegel;Grünanlage;Nordgraben, Ziekowstr.-Bollestr;-;-;-;4200;gewidmet;12304314;Ziekowstraße/Freie Scholle;1
00008100:001042f7;5006;Reinickendorf;Heiligensee;Grünanlage;Ruppiner Chaussee, Grünanlage;-;-;-;29048;gewidmet;12224230;Heiligensee;1
00008100:001041ee;902;Reinickendorf;Märkisches Viertel;Grünanlage;Mittelfeldbecken;-;-;-;22487;gewidmet;12302108;Märkisches Zentrum;1
00008100:0010448b;628;Reinickendorf;Reinickendorf;Grünanlage;Emmentaler Str.,Grünanlage Steinhövelpl.;-;-;-;7704.5;gewidmet;12103219;Schäfersee;1
00008100:00104492;475;Reinickendorf;Reinickendorf;Grünanlage;Bahnhofspark, S-Bhf. Rdf.;-;-;-;24299;gewidmet;12103218;Teichstraße;1
00008100:0010440a;713;Reinickendorf;Tegel;Grünanlage;Alt-Tegel, Dorfaue;-;-;-;3676;gewidmet;12214527;Alt-Tegel;0
00008100:001042c7;10;Reinickendorf;Tegel;Grünanlage;Greenwichpromenade;-;-;-;47002;gewidmet;12214527;Alt-Tegel;1
00008100:0010416d;3145;Reinickendorf;Heiligensee;Grünanlage;Mümmelmannweg, Wald;-;-;-;12270;gewidmet;12224230;Heiligensee;1
00008100:001043d9;1449;Reinickendorf;Heiligensee;Grünanlage;Am Dachsbau, Vogelschutzgebiet;-;-;-;32738;gewidmet;12224230;Heiligensee;1
00008100:001044a2;584;Reinickendorf;Heiligensee;Grünanlage;Nieder-Neuendorfer See, Uferstr.;-;-;-;5061;gewidmet;12224230;Heiligensee;1
00008100:00104493;587;Reinickendorf;Heiligensee;Grünanlage;Bumpfuhl, ND;-;-;-;55948;gewidmet;12224230;Heiligensee;1
00008100:001042d3;42;Reinickendorf;Frohnau;Grünanlage;Kreuzritterstr./Kasinoweg;-;-;-;861;gewidmet;12231102;Frohnau;0
00008100:00104117;1010;Reinickendorf;Wittenau;Grünanlage;Roedernallee/Alt-Wittenau;-;-;-;10791;gewidmet;12301203;Wittenau-Süd;0
00008100:001044fe;35421;Reinickendorf;Wittenau;Grünanlage;Kirschblütenplatz-Wilhelm-Gericke-Str.;Durchgang Oranienburger Str.;-;-;1073;gewidmet;12301203;Wittenau-Süd;0
00008100:00104487;600;Reinickendorf;Heiligensee;Grünanlage;Grabs. Hlgs., Weidengraben;-;-;-;3738;gewidmet;12224230;Heiligensee;1
00008100:00104536;35086;Reinickendorf;Reinickendorf;Grünanlage;Sommerstr.;Rahmengrün Spielplatz;1998;-;357;gewidmet;12103116;Hausotterplatz;0
00008100:001042c1;35;Reinickendorf;Frohnau;Grünanlage;Langohrzeile/Im Fischgrund;-;-;-;986;gewidmet;12231102;Frohnau;0
00008100:001044b6;1076;Reinickendorf;Hermsdorf;Grünanlage;Hohefeldstr. 16-18, R.A.B.;-;-;-;2314;gewidmet;12231101;Hermsdorf;0
00008100:001042b7;28;Reinickendorf;Frohnau;Grünanlage;Donnersmarkplatz;-;-;-;5036;gewidmet;12231102;Frohnau;1
00008100:001044ac;1089;Reinickendorf;Hermsdorf;Grünanlage;Fließtal, Titusweg-Veltheimstr.;nördl. d. Fließgew. einschl. Hermsd.See;-;-;732334;gewidmet;12214527;Alt-Tegel;1
00008100:00104438;476;Reinickendorf;Reinickendorf;Grünanlage;Kuhnpromenade u. Lindauer Alle 59/61;-;-;-;3138;gewidmet;12103220;Humboldtstraße;1
00008100:00104469;322;Reinickendorf;Tegel;Grünanlage;Vor den Toren I, 2 Teilstücke;-;-;-;31396.8;gewidmet;12214125;Waldidyll/Flughafensee;1
00008100:001045ec;1322;Reinickendorf;Heiligensee;Grünanlage;Am Dachsbau/Im Erpelgrund;-;-;-;877;gewidmet;12224230;Heiligensee;0
00008100:0010440b;726;Reinickendorf;Tegel;Grünanlage;Waidmannsluster D./Buddestr.,Grünanlage;-;-;-;8907;gewidmet;12214527;Alt-Tegel;0
00008100:001041f4;837;Reinickendorf;Wittenau;Grünanlage;Eichborndamm-Gorkistr.;Wanderweg am Nordgragen;-;-;40154;gewidmet;12301204;Wittenau-Nord;1
00008100:001044ec;35622;Reinickendorf;Tegel;Grünanlage;Wiesenweg, Erholungsfläche;KG Am Wasserbunker;-;-;4670;gewidmet;12214125;Waldidyll/Flughafensee;0
00008100:001044a0;598;Reinickendorf;Heiligensee;Grünanlage;Grabs. Hlgs., Haselgraben;-;-;-;12178;gewidmet;12224230;Heiligensee;1
00008100:00104446;743;Reinickendorf;Tegel;Grünanlage;Wanderweg an der Malche;-;-;-;25920;gewidmet;12214527;Alt-Tegel;1
00008100:001041ff;838;Reinickendorf;Wittenau;Grünanlage;Triftpark;-;-;-;46357;gewidmet;12301204;Wittenau-Nord;1
00008100:0010440c;723;Reinickendorf;Tegel;Grünanlage;Nordgraben/Industriebahn, Grünanlage;-;-;-;2414;gewidmet;12304314;Ziekowstraße/Freie Scholle;1
00008100:00104484;608;Reinickendorf;Reinickendorf;Grünanlage;Seidelstr., neben BAB;-;-;-;554;gewidmet;12214422;Klixstr.;0
00008100:001043ff;488;Reinickendorf;Reinickendorf;Grünanlage;Kienhorstpark;-;-;-;111154;gewidmet;12103218;Teichstraße;1
