technischer Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name Planungsraum;anrechenbar Grünflächenversorgung
00008100:001c6717;60191;Treptow-Köpenick;Altglienicke;Grünanlage;Ortolfstraße 144/148 Ag GA;-;-;-;1946;gewidmet;9030902;Wohngebiet II;0
00008100:001c6750;40111;Treptow-Köpenick;Johannisthal;Grünanlage;Springbornstraße 144-154, 156/ Grünzug Jo GA;-;-;-;15131.2;gewidmet;9010401;Johannisthal West;1
00008100:001c6a25;100461;Treptow-Köpenick;Köpenick;Grünanlage;Wendenschloßstraße/ Am Amtsgraben Köp GA;Amtsgrabenverrohrung (6b/7-11);-;-;18334;gewidmet;9041401;Allende I;1
00008100:000a6bf2;211078;Neukölln;Buckow;Grünanlage;Künheimerweg 7;-;-;-;1053;gewidmet;8020726;Buckow West;0
00008100:000a6dc5;241099;Neukölln;Rudow;Grünanlage;Dörferblick;-;-;-;81680;gewidmet;8041038;Waßmannsdorfer Chaussee;1
00008100:000a6df3;231090;Neukölln;Rudow;Grünanlage;E. Keller BR.-Hafen Rudow West;-;-;-;22721;gewidmet;8041035;Blumenviertel;1
00008100:001c6555;100431;Treptow-Köpenick;Köpenick;Grünanlage;Spindlersfelder Straße/ Glienicker Sraße Köp GA;zw.Ottomar-Geschke und Glienicker Straße;-;-;28319;gewidmet;9020802;Kölln. Vorstadt;1
00008100:001c6a36;100101;Treptow-Köpenick;Köpenick;Grünanlage;Ernst-Grube-Straße Köp GA;Ernst-Grube-Park (6a/5-6);-;-;22138.6;gewidmet;9020801;Spindlersfeld;1
00008100:001c685b;20021;Treptow-Köpenick;Plänterwald;Grünanlage;Kiefholzstraße/ Puderstraße Pl GA;Kein Fachvermögen zw. Puder- und Karpfenteichstr.(beids.) Japanische Kirschen;-;-;7332;-;9010201;Am Treptower Park Süd;1
00008100:00231787;10121;Treptow-Köpenick;Alt-Treptow;Grünanlage;Puschkinallee/ Treptower Park - Rosengarten AT GA;Wasserfontänen im PO 012010;-;-;18492;gewidmet;9010102;Am Treptower Park Nord;1
00008100:00252f09;10031;Treptow-Köpenick;Alt-Treptow;Grünanlage;Am Treptower Park/ Treptower Park Teichseite AT GA;für Wegebau (von HerkomerStr. bis BulgarischeStr.;-;-;137364;gewidmet;8010406;Treptower Straße Nord;1
00008100:002434b7;110181;Treptow-Köpenick;Friedrichshagen;Grünanlage;Dahlwitzer Landstraße/ Hinter dem Kurpark II Fr GA;waldähnlicher Teil ;-;-;59417;gewidmet;9051702;Bölschestraße;1
00008100:001c6a0a;140011;Treptow-Köpenick;Müggelheim;Grünanlage;Krampenburger Weg 13 Mü GA;ehem.Friedhof und Uferbereich ( Ablage );-;-;4420;gewidmet;9041601;Müggelheim;0
00008100:001c63fb;100361;Treptow-Köpenick;Köpenick;Grünanlage;Müggelschlößchenweg 44 Köp GA;neben Kaufhalle Alfred- Randt-Str;-;-;2939.6;gewidmet;9041301;Kietzer Feld / Nachtheide;0
00008100:000a6b45;411030;Neukölln;Neukölln;Grünanlage;Britzer Zweigkanal;-;-;-;1210;gewidmet;8010510;Gewerbegebiet Köllnische Heide;1
00008100:000a6d59;411019;Neukölln;Neukölln;Grünanlage;Richardplatz-Grünanlage;-;1945;1988;3715;gewidmet;8010404;Rixdorf;0
00008100:000a6c05;411608;Neukölln;Neukölln;Grünanlage;Hertzbergplatz-Minigolfplatz;-;-;-;1250;gewidmet;8010405;Hertzbergplatz;1
00008100:000a6b88;221052;Neukölln;Britz;Grünanlage;Britzer Garten;-;-;-;867097;gewidmet;8020621;Mohriner Allee Nord;1
