,PLR,PLR_NAME,PLZ
174,5010314,Carl-Schurz-Straße,"['13581', '13583', '13585', '13597', '13599']"
175,5010339,Freiheit,"['13597', '13599', '14050', '14052']"
176,5020415,Isenburger Weg,['13591']
177,5020416,Am Heideberg,['13591']
178,5020417,Staakener Straße,"['13581', '13591']"
179,5020523,Maulbeerallee,"['13581', '13591', '13593']"
180,5020524,Weinmeisterhornweg,"['13593', '13595', '14089']"
181,5020625,Borkumer Straße,"['13581', '13595', '13597']"
182,5020626,Adamstraße,"['13581', '13593', '13595', '13597']"
183,5020627,Tiefwerder,"['13581', '13595', '13597', '14055']"
184,5020628,Graetschelsteig,"['13593', '13595']"
185,5020629,Börnicker Straße,"['13595', '13597', '14055', '14089', '14193']"
186,5030730,Zitadellenweg,"['13505', '13585', '13587', '13597', '13599']"
187,5030731,Gartenfelder Straße,"['13599', '13629']"
188,5030832,Rohrdamm,"['13599', '13627', '13629']"
189,5030833,Motardstraße,"['13597', '13599', '13627', '13629', '14050']"
190,5040934,Alt-Gatow,"['13593', '13595', '14089', '14129', '14193']"
191,5040935,Groß-Glienicker Weg,['14089']
192,5040936,Jägerallee,['14089']
193,5040937,Kladower Damm,"['14089', '14109', '14129']"
194,5040938,Kafkastraße,['14089']
195,6010101,Fichtenberg,"['12163', '12165', '12203', '14195']"
196,6010102,Schloßstraße,"['12163', '12165', '12169']"
197,6010103,Markelstraße,"['12161', '12163', '12169', '14195', '14197']"
198,6010204,Munsterdamm,"['12105', '12169']"
199,6010205,Südende,"['12105', '12167', '12169', '12247']"
200,6010206,Stadtpark,"['12167', '12169', '12203', '12247']"
201,6010207,Mittelstraße,"['12165', '12167', '12169', '12203']"
202,5020418,Spandauer Straße,"['13581', '13591']"
203,5020419,Magistratsweg,"['13581', '13591']"
204,5020420,Werkstraße,['13591']
205,5020521,Döberitzer Weg,['13591']
206,5020522,Pillnitzer Weg,"['13591', '13593']"
207,6020301,Alt-Lankwitz,"['12105', '12107', '12247', '12249']"
208,6020302,Komponistenviertel Lankwitz,"['12167', '12207', '12247']"
209,4061757,Forst Grunewald,"['14055', '14089', '14129', '14169', '14193', '14195']"
210,5010101,Hakenfelde Nord,"['13505', '13585', '13587', '13589']"
211,9031202,Schmöckwitz/Rauchfangswerder,"['12527', '12559']"
212,6020411,Schütte-Lanz-Straße,"['12207', '12209', '12249', '12279']"
213,6030501,Berlepschstraße,"['14163', '14165']"
214,6030502,Zehlendorf Süd,"['14165', '14167']"
215,6030503,Zehlendorf Mitte,"['12205', '14163', '14165', '14167', '14169']"
216,6040804,Krumme Lanke,"['14129', '14163', '14169', '14193']"
217,6040808,Hüttenweg,"['14169', '14193', '14195']"
218,6040810,Dahlem,"['12163', '14169', '14195', '14199']"
219,6010208,Bergstraße,"['12157', '12163', '12165', '12167', '12169']"
220,6010209,Feuerbachstraße,"['12157', '12161', '12163', '12169']"
221,6010210,Bismarckstraße,"['12157', '12163', '12169']"
222,6020306,Lankwitz Süd,"['12107', '12209', '12249', '12277', '12279']"
223,6020409,Königsberger Straße,"['12203', '12207', '12209', '12247']"
224,6020303,Lankwitz Kirche,"['12247', '12249']"
225,6020304,Kaiser-Wilhelm-Straße,"['12209', '12247', '12249']"
226,6020305,Gemeindepark Lankwitz,"['12209', '12247', '12249']"
227,6020407,Thermometersiedlung,['12207']
228,6020408,Lichterfelde Süd,"['12207', '14167']"
229,6020410,Oberhofer Platz,"['12207', '12209', '12247', '12249']"
230,6030607,Goerzwerke,"['12203', '12205', '12207', '14167']"
231,6040701,Wannsee,"['14109', '14129']"
232,6040703,Nikolassee,"['14109', '14129', '14163', '14169', '14193']"
233,6040702,Düppel,"['14109', '14129', '14163', '14165']"
234,6040805,Fischerhüttenstraße,"['14163', '14169']"
235,6040806,Fischtal,"['14163', '14169']"
