FID,gml_id,spatial_na,spatial_al,spatial_ty,PLRNAME,BZRNAME,PGRNAME,BEZNAME,DATUM,SHAPE_Length,SHAPE_Area
137,re_planungsraum.04030930,04030930,George-Grosz-Platz,Polygon,George-Grosz-Platz,Kurfürstendamm,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,4535.56658613483,1252901.53362775
138,re_planungsraum.04030931,04030931,Breitscheidplatz,Polygon,Breitscheidplatz,Kurfürstendamm,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,6491.71690730881,1626615.10162008
139,re_planungsraum.04031032,04031032,Halensee,Polygon,Halensee,Halensee,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,8701.74411041653,3305839.14917966
140,re_planungsraum.04041133,04041133,Güterbahnhof Grunewald,Polygon,Güterbahnhof Grunewald,Grunewald,CW 4,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,7012.45507901697,1464081.90132345
141,re_planungsraum.04041134,04041134,Bismarckallee,Polygon,Bismarckallee,Grunewald,CW 4,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,9810.17616191711,3846102.23139965
142,re_planungsraum.04041135,04041135,Hundekehle,Polygon,Hundekehle,Grunewald,CW 4,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,12377.1044635283,3035580.24864862
143,re_planungsraum.04041136,04041136,Hagenplatz,Polygon,Hagenplatz,Grunewald,CW 4,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,7364.74016116567,2539538.42921232
144,re_planungsraum.04041137,04041137,Flinsberger Platz,Polygon,Flinsberger Platz,Grunewald,CW 4,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,8525.38770021991,2462851.50602594
145,re_planungsraum.04041238,04041238,Kissinger Straße,Polygon,Kissinger Straße,Schmargendorf,CW 4,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,7429.37698846694,1740870.45733816
146,re_planungsraum.04041239,04041239,Stadion Wilmersdorf,Polygon,Stadion Wilmersdorf,Schmargendorf,CW 4,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,7026.15048066045,2281524.4697689
147,re_planungsraum.04041240,04041240,Messelpark,Polygon,Messelpark,Schmargendorf,CW 4,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,4823.88670434693,1465779.11084464
148,re_planungsraum.04041241,04041241,Breite Straße,Polygon,Breite Straße,Schmargendorf,CW 4,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,6917.55362906971,1795343.82103758
149,re_planungsraum.04041342,04041342,Schlangenbader Straße,Polygon,Schlangenbader Straße,Wiesbadener Straße,CW 4,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,4812.34100656702,950317.221413148
150,re_planungsraum.04041343,04041343,Binger Straße,Polygon,Binger Straße,Wiesbadener Straße,CW 4,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,5238.68642230393,1138609.31872279
151,re_planungsraum.04041344,04041344,Rüdesheimer Platz,Polygon,Rüdesheimer Platz,Wiesbadener Straße,CW 4,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,6832.82720307253,1614582.89203013
152,re_planungsraum.04051445,04051445,Eisenzahnstraße,Polygon,Eisenzahnstraße,Düsseldorfer Straße,CW 5,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,6152.84102777242,2038590.39764541
153,re_planungsraum.04051446,04051446,Preußenpark,Polygon,Preußenpark,Düsseldorfer Straße,CW 5,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,5417.86400866097,1685506.04949734
154,re_planungsraum.04051447,04051447,Ludwigkirchplatz,Polygon,Ludwigkirchplatz,Düsseldorfer Straße,CW 5,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,4193.39033886892,847971.392051612
155,re_planungsraum.04051448,04051448,Schaperstraße,Polygon,Schaperstraße,Düsseldorfer Straße,CW 5,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,5895.82120425766,1591641.37240958
156,re_planungsraum.04051549,04051549,Rathaus Wilmersdorf,Polygon,Rathaus Wilmersdorf,Barstraße,CW 5,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,6409.70983957568,1799381.1184391
157,re_planungsraum.04051550,04051550,Leon-Jessel-Platz,Polygon,Leon-Jessel-Platz,Barstraße,CW 5,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,3738.52471350446,669464.980676089
158,re_planungsraum.04051551,04051551,Brabanter Platz,Polygon,Brabanter Platz,Barstraße,CW 5,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,5086.5806188478,1131232.78956448
159,re_planungsraum.04051652,04051652,Nikolsburger Platz,Polygon,Nikolsburger Platz,Volkspark Wilmersdorf,CW 5,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,4435.42417992735,1188636.51148518
160,re_planungsraum.04051653,04051653,Prager Platz,Polygon,Prager Platz,Volkspark Wilmersdorf,CW 5,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,4141.02815987086,941806.135023198
161,re_planungsraum.04051654,04051654,Wilhelmsaue,Polygon,Wilhelmsaue,Volkspark Wilmersdorf,CW 5,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,3722.63400252089,792951.481006661
162,re_planungsraum.04051655,04051655,Babelsberger Straße,Polygon,Babelsberger Straße,Volkspark Wilmersdorf,CW 5,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,5687.58544487873,1577819.66550741
163,re_planungsraum.04051656,04051656,Hildegardstraße,Polygon,Hildegardstraße,Volkspark Wilmersdorf,CW 5,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,3967.00269351249,871332.529504799
164,re_planungsraum.04061757,04061757,Forst Grunewald,Polygon,Forst Grunewald,Forst Grunewald,CW 6,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,33027.0536579059,49701745.3831137
165,re_planungsraum.05010101,05010101,Hakenfelde Nord,Polygon,Hakenfelde Nord,Hakenfelde,SPA 1,Spandau,2006-06-14T00:00:00,41038.1961994954,46766777.3075562
166,re_planungsraum.05010102,05010102,Goltzstraße,Polygon,Goltzstraße,Hakenfelde,SPA 1,Spandau,2006-06-14T00:00:00,5690.86883312856,1269587.90261982
167,re_planungsraum.05010103,05010103,Amorbacher Weg,Polygon,Amorbacher Weg,Hakenfelde,SPA 1,Spandau,2006-06-14T00:00:00,12089.7553602196,5926544.48888823
168,re_planungsraum.05010204,05010204,Griesingerstraße,Polygon,Griesingerstraße,Falkenhagener Feld,SPA 1,Spandau,2006-06-14T00:00:00,9951.85730580086,5235257.62197522
169,re_planungsraum.05010205,05010205,An der Tränke,Polygon,An der Tränke,Falkenhagener Feld,SPA 1,Spandau,2006-06-14T00:00:00,5842.50508160383,1599341.71073998
170,re_planungsraum.05010206,05010206,Gütersloher Weg,Polygon,Gütersloher Weg,Falkenhagener Feld,SPA 1,Spandau,2006-06-14T00:00:00,10827.1550887648,4766846.4405473
171,re_planungsraum.05010207,05010207,Darbystraße,Polygon,Darbystraße,Falkenhagener Feld,SPA 1,Spandau,2006-06-14T00:00:00,7419.84926352221,2017291.28354347
172,re_planungsraum.05010208,05010208,Germersheimer Platz,Polygon,Germersheimer Platz,Falkenhagener Feld,SPA 1,Spandau,2006-06-14T00:00:00,5451.86687514403,1436496.81106268
173,re_planungsraum.05010209,05010209,An der Kappe,Polygon,An der Kappe,Falkenhagener Feld,SPA 1,Spandau,2006-06-14T00:00:00,16651.6953039277,3773005.97755157
174,re_planungsraum.05010310,05010310,Eckschanze,Polygon,Eckschanze,Spandau Mitte,SPA 1,Spandau,2006-06-14T00:00:00,3823.22285404031,919623.631630352
175,re_planungsraum.05010311,05010311,Eiswerder,Polygon,Eiswerder,Spandau Mitte,SPA 1,Spandau,2006-06-14T00:00:00,16215.5403303005,4491565.17145959
176,re_planungsraum.05010312,05010312,Kurstraße,Polygon,Kurstraße,Spandau Mitte,SPA 1,Spandau,2006-06-14T00:00:00,6720.6905417796,1281573.07846288
177,re_planungsraum.05010313,05010313,Ackerstraße,Polygon,Ackerstraße,Spandau Mitte,SPA 1,Spandau,2006-06-14T00:00:00,5329.63290027216,1345575.77339136
178,re_planungsraum.05010314,05010314,Carl-Schurz-Straße,Polygon,Carl-Schurz-Straße,Spandau Mitte,SPA 1,Spandau,2006-06-14T00:00:00,12257.0913574835,4578928.95685372
179,re_planungsraum.05010339,05010339,Freiheit,Polygon,Freiheit,Spandau Mitte,SPA 1,Spandau,2008-04-09T00:00:00,12675.6470561725,5224266.97167882
180,re_planungsraum.05020415,05020415,Isenburger Weg,Polygon,Isenburger Weg,Brunsbütteler Damm,SPA 2,Spandau,2006-06-14T00:00:00,7548.51078716412,3469683.21470979
181,re_planungsraum.05020416,05020416,Am Heideberg,Polygon,Am Heideberg,Brunsbütteler Damm,SPA 2,Spandau,2006-06-14T00:00:00,4551.25936102268,1137596.35188107
182,re_planungsraum.05020417,05020417,Staakener Straße,Polygon,Staakener Straße,Brunsbütteler Damm,SPA 2,Spandau,2006-06-14T00:00:00,17101.0457146399,7100993.08892125
183,re_planungsraum.05020418,05020418,Spandauer Straße,Polygon,Spandauer Straße,Brunsbütteler Damm,SPA 2,Spandau,2006-06-14T00:00:00,7807.03780606289,1943266.71689334
184,re_planungsraum.05020419,05020419,Magistratsweg,Polygon,Magistratsweg,Brunsbütteler Damm,SPA 2,Spandau,2006-06-14T00:00:00,7571.02014395095,2183775.48820608
185,re_planungsraum.05020420,05020420,Werkstraße,Polygon,Werkstraße,Brunsbütteler Damm,SPA 2,Spandau,2006-06-14T00:00:00,8863.56684895988,3297552.94823012
186,re_planungsraum.05020521,05020521,Döberitzer Weg,Polygon,Döberitzer Weg,Heerstraße Nord,SPA 2,Spandau,2006-06-14T00:00:00,11300.4524305729,4386398.94409355
187,re_planungsraum.05020522,05020522,Pillnitzer Weg,Polygon,Pillnitzer Weg,Heerstraße Nord,SPA 2,Spandau,2006-06-14T00:00:00,10776.8298448964,4544539.38707871
188,re_planungsraum.05020523,05020523,Maulbeerallee,Polygon,Maulbeerallee,Heerstraße Nord,SPA 2,Spandau,2006-06-14T00:00:00,8723.43311371258,3796958.71865405
189,re_planungsraum.05020524,05020524,Weinmeisterhornweg,Polygon,Weinmeisterhornweg,Heerstraße Nord,SPA 2,Spandau,2006-06-14T00:00:00,13861.7578239309,7109415.42673868
190,re_planungsraum.05020625,05020625,Borkumer Straße,Polygon,Borkumer Straße,Wilhelmstadt,SPA 2,Spandau,2006-06-14T00:00:00,10090.9747340135,3579552.32090867
191,re_planungsraum.05020626,05020626,Adamstraße,Polygon,Adamstraße,Wilhelmstadt,SPA 2,Spandau,2006-06-14T00:00:00,11495.5900062856,3913309.40455151
192,re_planungsraum.05020627,05020627,Tiefwerder,Polygon,Tiefwerder,Wilhelmstadt,SPA 2,Spandau,2008-07-17T00:00:00,12500.8002103597,4289593.64387081
193,re_planungsraum.05020628,05020628,Graetschelsteig,Polygon,Graetschelsteig,Wilhelmstadt,SPA 2,Spandau,2006-06-14T00:00:00,5774.6873032202,1327453.89087969
194,re_planungsraum.05020629,05020629,Börnicker Straße,Polygon,Börnicker Straße,Wilhelmstadt,SPA 2,Spandau,2006-06-14T00:00:00,17904.230614095,10069707.8522439
195,re_planungsraum.05030730,05030730,Zitadellenweg,Polygon,Zitadellenweg,Haselhorst,SPA 3,Spandau,2006-06-14T00:00:00,21265.0363769858,9609642.13786716
196,re_planungsraum.05030731,05030731,Gartenfelder Straße,Polygon,Gartenfelder Straße,Haselhorst,SPA 3,Spandau,2006-06-14T00:00:00,10225.7521094399,3147035.37894447
197,re_planungsraum.05030832,05030832,Rohrdamm,Polygon,Rohrdamm,Siemensstadt,SPA 3,Spandau,2006-06-14T00:00:00,14703.0560157795,6443154.86486036
198,re_planungsraum.05030833,05030833,Motardstraße,Polygon,Motardstraße,Siemensstadt,SPA 3,Spandau,2006-06-14T00:00:00,16326.0456628554,8834672.50861597
199,re_planungsraum.05040934,05040934,Alt-Gatow,Polygon,Alt-Gatow,Gatow/Kladow,SPA 4,Spandau,2006-06-14T00:00:00,20715.2943481159,9871314.49526598
200,re_planungsraum.05040935,05040935,Groß-Glienicker Weg,Polygon,Groß-Glienicker Weg,Gatow/Kladow,SPA 4,Spandau,2006-06-14T00:00:00,33128.4716448911,21094673.0107498
201,re_planungsraum.05040936,05040936,Jägerallee,Polygon,Jägerallee,Gatow/Kladow,SPA 4,Spandau,2006-06-14T00:00:00,25315.6392464053,19721804.646375
202,re_planungsraum.05040937,05040937,Kladower Damm,Polygon,Kladower Damm,Gatow/Kladow,SPA 4,Spandau,2006-06-14T00:00:00,26834.8045152789,11607725.5338048
203,re_planungsraum.05040938,05040938,Kafkastraße,Polygon,Kafkastraße,Gatow/Kladow,SPA 4,Spandau,2006-06-14T00:00:00,10105.0915147827,4666868.27902752
204,re_planungsraum.06010101,06010101,Fichtenberg,Polygon,Fichtenberg,Schloßstraße,Region A,Steglitz-Zehlendorf,2006-06-14T00:00:00,7862.30062835105,2661347.14218337
205,re_planungsraum.06010102,06010102,Schloßstraße,Polygon,Schloßstraße,Schloßstraße,Region A,Steglitz-Zehlendorf,2006-06-14T00:00:00,7338.53898051594,1314531.10743226
206,re_planungsraum.06010103,06010103,Markelstraße,Polygon,Markelstraße,Schloßstraße,Region A,Steglitz-Zehlendorf,2006-06-14T00:00:00,6388.3929078567,1239895.77139866
207,re_planungsraum.06010204,06010204,Munsterdamm,Polygon,Munsterdamm,Albrechtstraße,Region A,Steglitz-Zehlendorf,2006-06-14T00:00:00,8280.13207642423,2999094.2656676
208,re_planungsraum.06010205,06010205,Südende,Polygon,Südende,Albrechtstraße,Region A,Steglitz-Zehlendorf,2006-06-14T00:00:00,6955.57946736068,2286898.00485739
209,re_planungsraum.06010206,06010206,Stadtpark,Polygon,Stadtpark,Albrechtstraße,Region A,Steglitz-Zehlendorf,2006-06-14T00:00:00,7268.38249015828,1907549.66119845
210,re_planungsraum.06010207,06010207,Mittelstraße,Polygon,Mittelstraße,Albrechtstraße,Region A,Steglitz-Zehlendorf,2006-06-14T00:00:00,6679.596235592,1827027.96024568
211,re_planungsraum.06010208,06010208,Bergstraße,Polygon,Bergstraße,Albrechtstraße,Region A,Steglitz-Zehlendorf,2006-06-14T00:00:00,6240.00750305655,1667616.65405022
212,re_planungsraum.06010209,06010209,Feuerbachstraße,Polygon,Feuerbachstraße,Albrechtstraße,Region A,Steglitz-Zehlendorf,2006-06-14T00:00:00,5614.21671240533,1704424.42658004
213,re_planungsraum.06010210,06010210,Bismarckstraße,Polygon,Bismarckstraße,Albrechtstraße,Region A,Steglitz-Zehlendorf,2006-06-14T00:00:00,3670.12616005469,633458.689113011
214,re_planungsraum.06020301,06020301,Alt-Lankwitz,Polygon,Alt-Lankwitz,Lankwitz,Region B,Steglitz-Zehlendorf,2006-06-14T00:00:00,7680.11354166054,2670652.70941768
215,re_planungsraum.06020302,06020302,Komponistenviertel Lankwitz,Polygon,Komponistenviertel Lankwitz,Lankwitz,Region B,Steglitz-Zehlendorf,2006-06-14T00:00:00,8045.5496019185,3324783.08895277
216,re_planungsraum.06020303,06020303,Lankwitz Kirche,Polygon,Lankwitz Kirche,Lankwitz,Region B,Steglitz-Zehlendorf,2006-06-14T00:00:00,5890.83411689067,1827154.7430654
217,re_planungsraum.06020304,06020304,Kaiser-Wilhelm-Straße,Polygon,Kaiser-Wilhelm-Straße,Lankwitz,Region B,Steglitz-Zehlendorf,2006-06-14T00:00:00,7834.43293567448,2011571.11322595
218,re_planungsraum.06020305,06020305,Gemeindepark Lankwitz,Polygon,Gemeindepark Lankwitz,Lankwitz,Region B,Steglitz-Zehlendorf,2006-06-14T00:00:00,11036.6532486187,4958811.25243436
219,re_planungsraum.06020306,06020306,Lankwitz Süd,Polygon,Lankwitz Süd,Lankwitz,Region B,Steglitz-Zehlendorf,2006-06-14T00:00:00,12461.6321255264,3977999.84272311
220,re_planungsraum.06020407,06020407,Thermometersiedlung,Polygon,Thermometersiedlung,Ostpreußendamm,Region B,Steglitz-Zehlendorf,2006-06-14T00:00:00,8454.1113050872,3697656.74537843
221,re_planungsraum.06020408,06020408,Lichterfelde Süd,Polygon,Lichterfelde Süd,Ostpreußendamm,Region B,Steglitz-Zehlendorf,2006-06-14T00:00:00,9339.03708675483,3746383.12243488
222,re_planungsraum.06020409,06020409,Königsberger Straße,Polygon,Königsberger Straße,Ostpreußendamm,Region B,Steglitz-Zehlendorf,2006-06-14T00:00:00,14224.5099137668,5525391.40374586
223,re_planungsraum.06020410,06020410,Oberhofer Platz,Polygon,Oberhofer Platz,Ostpreußendamm,Region B,Steglitz-Zehlendorf,2006-06-14T00:00:00,10563.8056965294,3682583.16191031
224,re_planungsraum.06020411,06020411,Schütte-Lanz-Straße,Polygon,Schütte-Lanz-Straße,Ostpreußendamm,Region B,Steglitz-Zehlendorf,2006-06-14T00:00:00,9576.16692232679,4673725.56312808
225,re_planungsraum.06030501,06030501,Berlepschstraße,Polygon,Berlepschstraße,Teltower Damm,Region C,Steglitz-Zehlendorf,2006-06-14T00:00:00,12912.6940249043,4686325.06166036
226,re_planungsraum.06030502,06030502,Zehlendorf Süd,Polygon,Zehlendorf Süd,Teltower Damm,Region C,Steglitz-Zehlendorf,2006-06-14T00:00:00,9146.63466297443,3524160.85644269
227,re_planungsraum.06030503,06030503,Zehlendorf Mitte,Polygon,Zehlendorf Mitte,Teltower Damm,Region C,Steglitz-Zehlendorf,2006-06-14T00:00:00,12728.6089587942,5062545.33671109
228,re_planungsraum.06030504,06030504,Teltower Damm,Polygon,Teltower Damm,Teltower Damm,Region C,Steglitz-Zehlendorf,2006-06-14T00:00:00,12956.8279219718,8373049.94779428
229,re_planungsraum.06030605,06030605,Botanischer Garten,Polygon,Botanischer Garten,Drakestraße,Region C,Steglitz-Zehlendorf,2006-06-14T00:00:00,11626.6231110194,3807338.60925343
230,re_planungsraum.06030606,06030606,Hindenburgdamm,Polygon,Hindenburgdamm,Drakestraße,Region C,Steglitz-Zehlendorf,2006-06-14T00:00:00,9564.70580076395,2005565.86935307
231,re_planungsraum.06030607,06030607,Goerzwerke,Polygon,Goerzwerke,Drakestraße,Region C,Steglitz-Zehlendorf,2006-06-14T00:00:00,15031.6795639597,4785866.59450987
232,re_planungsraum.06030608,06030608,Schweizer Viertel,Polygon,Schweizer Viertel,Drakestraße,Region C,Steglitz-Zehlendorf,2006-06-14T00:00:00,13574.8725694433,8283093.23740577
233,re_planungsraum.06030609,06030609,Augustaplatz,Polygon,Augustaplatz,Drakestraße,Region C,Steglitz-Zehlendorf,2006-06-14T00:00:00,9402.11721843461,4480118.46439116
234,re_planungsraum.06030610,06030610,Lichterfelde West,Polygon,Lichterfelde West,Drakestraße,Region C,Steglitz-Zehlendorf,2006-06-14T00:00:00,9470.24465778991,4257698.91591482
235,re_planungsraum.06040701,06040701,Wannsee,Polygon,Wannsee,Zehlendorf Südwest,Region D,Steglitz-Zehlendorf,2006-06-14T00:00:00,52314.3654989104,63705889.2017587
236,re_planungsraum.06040702,06040702,Düppel,Polygon,Düppel,Zehlendorf Südwest,Region D,Steglitz-Zehlendorf,2006-06-14T00:00:00,16881.059068215,8404121.4206817
237,re_planungsraum.06040703,06040703,Nikolassee,Polygon,Nikolassee,Zehlendorf Südwest,Region D,Steglitz-Zehlendorf,2006-06-14T00:00:00,34447.0214540923,44315835.1965906
238,re_planungsraum.06040804,06040804,Krumme Lanke,Polygon,Krumme Lanke,Zehlendorf Nord,Region D,Steglitz-Zehlendorf,2006-06-14T00:00:00,19607.4628728639,17251664.2741037
239,re_planungsraum.06040805,06040805,Fischerhüttenstraße,Polygon,Fischerhüttenstraße,Zehlendorf Nord,Region D,Steglitz-Zehlendorf,2006-06-14T00:00:00,10031.43153969,4925294.38061872
240,re_planungsraum.06040806,06040806,Fischtal,Polygon,Fischtal,Zehlendorf Nord,Region D,Steglitz-Zehlendorf,2006-06-14T00:00:00,9169.25749433515,3719911.82635477
241,re_planungsraum.06040807,06040807,Zehlendorf Eiche,Polygon,Zehlendorf Eiche,Zehlendorf Nord,Region D,Steglitz-Zehlendorf,2006-06-14T00:00:00,7804.17817084013,2960610.29011469
242,re_planungsraum.06040808,06040808,Hüttenweg,Polygon,Hüttenweg,Zehlendorf Nord,Region D,Steglitz-Zehlendorf,2006-06-14T00:00:00,13434.381590573,7999983.28439375
243,re_planungsraum.06040809,06040809,Thielallee,Polygon,Thielallee,Zehlendorf Nord,Region D,Steglitz-Zehlendorf,2006-06-14T00:00:00,11730.2547961771,5674542.1428615
244,re_planungsraum.06040810,06040810,Dahlem,Polygon,Dahlem,Zehlendorf Nord,Region D,Steglitz-Zehlendorf,2006-06-14T00:00:00,13707.1182015024,8897845.99087642
245,re_planungsraum.07010101,07010101,Wittenbergplatz/Viktoria-Luise-Platz,Polygon,Wittenbergplatz/Viktoria-Luise-Platz,Schöneberg Nord,Schöneberg Nord,Tempelhof-Schöneberg,2006-06-14T00:00:00,6150.65867113098,1672804.69527489
246,re_planungsraum.07010102,07010102,Nollendorfplatz,Polygon,Nollendorfplatz,Schöneberg Nord,Schöneberg Nord,Tempelhof-Schöneberg,2006-06-14T00:00:00,6238.0372969916,2312769.45785871
247,re_planungsraum.07010103,07010103,Barbarossaplatz,Polygon,Barbarossaplatz,Schöneberg Nord,Schöneberg Nord,Tempelhof-Schöneberg,2006-06-14T00:00:00,4907.50541089283,1386825.44260028
248,re_planungsraum.07010104,07010104,Dennewitzplatz,Polygon,Dennewitzplatz,Schöneberg Nord,Schöneberg Nord,Tempelhof-Schöneberg,2006-06-14T00:00:00,7208.6599543255,2295534.46022481
249,re_planungsraum.07020201,07020201,Bayerischer Platz,Polygon,Bayerischer Platz,Schöneberg Süd,Schöneberg Süd,Tempelhof-Schöneberg,2006-06-14T00:00:00,5079.74932230172,1410435.63450538
250,re_planungsraum.07020202,07020202,Volkspark (Rudolf-Wilde-Park),Polygon,Volkspark (Rudolf-Wilde-Park),Schöneberg Süd,Schöneberg Süd,Tempelhof-Schöneberg,2006-06-14T00:00:00,5665.18118240983,1682514.69435154
251,re_planungsraum.07020203,07020203,Kaiser-Wilhelm-Platz,Polygon,Kaiser-Wilhelm-Platz,Schöneberg Süd,Schöneberg Süd,Tempelhof-Schöneberg,2006-06-14T00:00:00,6605.86082927894,2466073.27204485
252,re_planungsraum.07020204,07020204,Schöneberger Insel,Polygon,Schöneberger Insel,Schöneberg Süd,Schöneberg Süd,Tempelhof-Schöneberg,2006-06-14T00:00:00,9674.75836154065,3477313.66820966
253,re_planungsraum.07030301,07030301,Friedenau,Polygon,Friedenau,Friedenau,Friedenau,Tempelhof-Schöneberg,2006-06-14T00:00:00,8892.855853332,3938843.58532961
254,re_planungsraum.07030302,07030302,Ceciliengärten,Polygon,Ceciliengärten,Friedenau,Friedenau,Tempelhof-Schöneberg,2006-06-14T00:00:00,6574.21394724489,1526846.89345936
255,re_planungsraum.07030303,07030303,Grazer Platz,Polygon,Grazer Platz,Friedenau,Friedenau,Tempelhof-Schöneberg,2006-06-14T00:00:00,12682.9405003705,6924502.22672389
256,re_planungsraum.07040401,07040401,Neu-Tempelhof,Polygon,Neu-Tempelhof,Tempelhof,Tempelhof,Tempelhof-Schöneberg,2006-06-14T00:00:00,17254.5630900037,14705642.7421498
257,re_planungsraum.07040402,07040402,Lindenhofsiedlung,Polygon,Lindenhofsiedlung,Tempelhof,Tempelhof,Tempelhof-Schöneberg,2006-06-14T00:00:00,9037.45748157983,3908466.1201078
258,re_planungsraum.07040403,07040403,Manteuffelstraße,Polygon,Manteuffelstraße,Tempelhof,Tempelhof,Tempelhof-Schöneberg,2006-06-14T00:00:00,10132.101383547,5003961.43980658
259,re_planungsraum.07040404,07040404,Marienhöhe,Polygon,Marienhöhe,Tempelhof,Tempelhof,Tempelhof-Schöneberg,2006-06-14T00:00:00,7902.07816564794,3144287.61736919
260,re_planungsraum.07040405,07040405,Rathaus Tempelhof,Polygon,Rathaus Tempelhof,Tempelhof,Tempelhof,Tempelhof-Schöneberg,2006-06-14T00:00:00,13780.1201059814,8231654.10250994
261,re_planungsraum.07040406,07040406,Germaniagarten,Polygon,Germaniagarten,Tempelhof,Tempelhof,Tempelhof-Schöneberg,2006-06-14T00:00:00,6407.94334085478,1775155.10141864
262,re_planungsraum.07050501,07050501,Rathausstraße,Polygon,Rathausstraße,Mariendorf,Mariendorf,Tempelhof-Schöneberg,2006-06-14T00:00:00,9595.32774659129,5478396.86727743
263,re_planungsraum.07050502,07050502,Fritz-Werner-Straße,Polygon,Fritz-Werner-Straße,Mariendorf,Mariendorf,Tempelhof-Schöneberg,2006-06-14T00:00:00,9754.49468371634,4711405.62934262
264,re_planungsraum.07050503,07050503,Eisenacher Straße,Polygon,Eisenacher Straße,Mariendorf,Mariendorf,Tempelhof-Schöneberg,2006-06-14T00:00:00,8602.91458033588,4136776.4898907
265,re_planungsraum.07050504,07050504,Imbrosweg,Polygon,Imbrosweg,Mariendorf,Mariendorf,Tempelhof-Schöneberg,2006-06-14T00:00:00,7912.56540675966,3313484.70559862
266,re_planungsraum.07050505,07050505,Hundsteinweg,Polygon,Hundsteinweg,Mariendorf,Mariendorf,Tempelhof-Schöneberg,2006-06-14T00:00:00,11763.0169650962,6052599.17016804
267,re_planungsraum.07050506,07050506,Birnhornweg,Polygon,Birnhornweg,Mariendorf,Mariendorf,Tempelhof-Schöneberg,2006-06-14T00:00:00,5581.8575975672,1489109.0746248
268,re_planungsraum.07060601,07060601,Marienfelder Allee Nordwest,Polygon,Marienfelder Allee Nordwest,Marienfelde,Marienfelde,Tempelhof-Schöneberg,2006-06-14T00:00:00,9460.65374132174,3078550.99282956
269,re_planungsraum.07060602,07060602,Kirchstraße,Polygon,Kirchstraße,Marienfelde,Marienfelde,Tempelhof-Schöneberg,2006-06-14T00:00:00,7922.01920216889,3315733.13147517
270,re_planungsraum.07060603,07060603,Marienfelde Nordost,Polygon,Marienfelde Nordost,Marienfelde,Marienfelde,Tempelhof-Schöneberg,2006-06-14T00:00:00,15638.4182185153,5334118.52227951
271,re_planungsraum.07060604,07060604,Marienfelde Süd,Polygon,Marienfelde Süd,Marienfelde,Marienfelde,Tempelhof-Schöneberg,2006-06-14T00:00:00,17826.9397372059,12805392.6906634
272,re_planungsraum.07070701,07070701,Kettinger Straße/Schillerstraße,Polygon,Kettinger Straße/Schillerstraße,Lichtenrade,Lichtenrade,Tempelhof-Schöneberg,2006-06-14T00:00:00,11452.3777066518,6297906.45827694
273,re_planungsraum.07070702,07070702,Alt-Lichtenrade/Töpchiner Weg,Polygon,Alt-Lichtenrade/Töpchiner Weg,Lichtenrade,Lichtenrade,Tempelhof-Schöneberg,2006-06-14T00:00:00,10456.6213723038,5328302.05803833
274,re_planungsraum.07070703,07070703,John-Locke-Straße,Polygon,John-Locke-Straße,Lichtenrade,Lichtenrade,Tempelhof-Schöneberg,2006-06-14T00:00:00,8306.71132585452,3012604.95810794
275,re_planungsraum.07070704,07070704,Nahariyastraße,Polygon,Nahariyastraße,Lichtenrade,Lichtenrade,Tempelhof-Schöneberg,2006-06-14T00:00:00,6313.27919329375,2413536.94199682
276,re_planungsraum.07070705,07070705,Franziusweg/Rohrbachstraße,Polygon,Franziusweg/Rohrbachstraße,Lichtenrade,Lichtenrade,Tempelhof-Schöneberg,2006-06-14T00:00:00,11385.3100958941,4775564.70939131
277,re_planungsraum.07070706,07070706,Horstwalder Straße/Paplitzer Straße,Polygon,Horstwalder Straße/Paplitzer Straße,Lichtenrade,Lichtenrade,Tempelhof-Schöneberg,2006-06-14T00:00:00,6920.82323424783,2515047.15355853
