FID,gml_id,spatial_na,spatial_al,spatial_ty,PLRNAME,BZRNAME,PGRNAME,BEZNAME,DATUM,SHAPE_Length,SHAPE_Area
35,re_planungsraum.01033203,01033203,Humboldthain Nordwest,Polygon,Humboldthain Nordwest,Brunnenstraße Nord,Gesundbrunnen,Mitte,2006-06-14T00:00:00,11405.073028355,3886020.52043281
36,re_planungsraum.01044101,01044101,Rehberge,Polygon,Rehberge,Parkviertel,Wedding,Mitte,2006-06-14T00:00:00,16070.8357484144,13117782.6272488
37,re_planungsraum.01044102,01044102,Schillerpark,Polygon,Schillerpark,Parkviertel,Wedding,Mitte,2006-06-14T00:00:00,10080.1619349135,4679818.96546535
38,re_planungsraum.01044103,01044103,Westliche Müllerstraße,Polygon,Westliche Müllerstraße,Parkviertel,Wedding,Mitte,2006-06-14T00:00:00,4913.35439780139,1435567.6573839
39,re_planungsraum.01044201,01044201,Reinickendorfer Straße,Polygon,Reinickendorfer Straße,Wedding Zentrum,Wedding,Mitte,2006-06-14T00:00:00,7809.27097345408,2857499.0760586
40,re_planungsraum.01044202,01044202,Sparrplatz,Polygon,Sparrplatz,Wedding Zentrum,Wedding,Mitte,2006-06-14T00:00:00,6000.69415499704,1680520.0472126
41,re_planungsraum.01044203,01044203,Leopoldplatz,Polygon,Leopoldplatz,Wedding Zentrum,Wedding,Mitte,2006-06-14T00:00:00,6408.62696330135,2193418.78907632
42,re_planungsraum.02010101,02010101,Askanischer Platz,Polygon,Askanischer Platz,Südliche Friedrichstadt,Kreuzberg Nord,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,5835.45832741152,1906971.22611028
43,re_planungsraum.02010102,02010102,Mehringplatz,Polygon,Mehringplatz,Südliche Friedrichstadt,Kreuzberg Nord,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,8157.11582429738,2793418.7478221
44,re_planungsraum.02010103,02010103,Moritzplatz,Polygon,Moritzplatz,Südliche Friedrichstadt,Kreuzberg Nord,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,8222.36772747184,2147784.20886055
45,re_planungsraum.02010104,02010104,Wassertorplatz,Polygon,Wassertorplatz,Südliche Friedrichstadt,Kreuzberg Nord,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,5934.08253640481,1047860.54769341
