,PLR,PLZ
135,4030929,"['10625', '10627', '10629', '10707']"
136,4030930,"['10623', '10629', '10707', '10719']"
137,4030931,"['10623', '10719', '10787', '10789']"
138,4031032,"['10629', '10707', '10709', '10711', '14055', '14193']"
139,4041133,"['10711', '14055', '14193']"
140,4041134,"['10711', '14055', '14193']"
141,4041135,"['14055', '14193', '14195', '14199']"
142,4041136,"['14193', '14199']"
143,4041137,"['10709', '10711', '10713', '14193', '14199']"
144,4041238,['14199']
145,4041239,"['10713', '14197', '14199']"
146,4041240,"['14195', '14199']"
147,4041241,"['14195', '14197', '14199']"
148,4041342,"['14195', '14197', '14199']"
149,4041343,"['14195', '14197', '14199']"
150,4041344,"['10715', '12161', '12163', '14195', '14197']"
151,4051445,"['10707', '10709', '10711', '10713', '14193', '14199']"
152,4051446,"['10707', '10709', '10713', '10719']"
153,4051447,"['10707', '10713', '10717', '10719']"
154,4051448,"['10717', '10719', '10777', '10779', '10789']"
155,4051549,"['10707', '10713', '10715', '14199']"
156,4051550,"['10707', '10713', '10715', '10717', '10719']"
157,4051551,"['10713', '10715', '14197', '14199']"
158,4051652,"['10715', '10717']"
159,4051653,"['10715', '10717', '10779', '10825']"
160,4051654,"['10713', '10715']"
161,4051655,"['10715', '10779', '10825', '12159', '12161']"
162,4051656,"['10713', '10715', '12161', '14197']"
163,4061757,"['14055', '14089', '14129', '14169', '14193', '14195']"
164,5010101,"['13505', '13585', '13587', '13589']"
165,5010102,['13587']
166,5010103,"['13583', '13585', '13587', '13589']"
167,5010204,['13589']
168,5010205,['13591']
169,5010206,"['13583', '13589', '13591']"
170,5010207,"['13583', '13589']"
171,5010208,"['13583', '13585', '13589']"
172,5010209,"['13581', '13583', '13589', '13591']"
173,5010310,"['13583', '13585']"
174,5010311,"['13505', '13585', '13587', '13599']"
175,5010312,"['13585', '13597', '13599']"
176,5010313,"['13583', '13585']"
177,5010314,"['13581', '13583', '13585', '13597', '13599']"
178,5010339,"['13597', '13599', '14050', '14052']"
179,5020415,['13591']
180,5020416,['13591']
181,5020417,"['13581', '13591']"
182,5020418,"['13581', '13591']"
183,5020419,"['13581', '13591']"
184,5020420,['13591']
185,5020521,['13591']
186,5020522,"['13591', '13593']"
187,5020523,"['13581', '13591', '13593']"
188,5020524,"['13593', '13595', '14089']"
189,5020625,"['13581', '13595', '13597']"
190,5020626,"['13581', '13593', '13595', '13597']"
191,5020627,"['13581', '13595', '13597', '14055']"
192,5020628,"['13593', '13595']"
193,5020629,"['13595', '13597', '14055', '14089', '14193']"
194,5030730,"['13505', '13585', '13587', '13597', '13599']"
195,5030731,"['13599', '13629']"
196,5030832,"['13599', '13627', '13629']"
197,5030833,"['13597', '13599', '13627', '13629', '14050']"
198,5040934,"['13593', '13595', '14089', '14129', '14193']"
199,5040935,['14089']
200,5040936,['14089']
201,5040937,"['14089', '14109', '14129']"
202,5040938,['14089']
203,6010101,"['12163', '12165', '12203', '14195']"
204,6010102,"['12163', '12165', '12169']"
205,6010103,"['12161', '12163', '12169', '14195', '14197']"
206,6010204,"['12105', '12169']"
207,6010205,"['12105', '12167', '12169', '12247']"
208,6010206,"['12167', '12169', '12203', '12247']"
209,6010207,"['12165', '12167', '12169', '12203']"
210,6010208,"['12157', '12163', '12165', '12167', '12169']"
211,6010209,"['12157', '12161', '12163', '12169']"
212,6010210,"['12157', '12163', '12169']"
213,6020301,"['12105', '12107', '12247', '12249']"
214,6020302,"['12167', '12207', '12247']"
215,6020303,"['12247', '12249']"
216,6020304,"['12209', '12247', '12249']"
217,6020305,"['12209', '12247', '12249']"
218,6020306,"['12107', '12209', '12249', '12277', '12279']"
219,6020407,['12207']
220,6020408,"['12207', '14167']"
221,6020409,"['12203', '12207', '12209', '12247']"
222,6020410,"['12207', '12209', '12247', '12249']"
223,6020411,"['12207', '12209', '12249', '12279']"
224,6030501,"['14163', '14165']"
225,6030502,"['14165', '14167']"
226,6030503,"['12205', '14163', '14165', '14167', '14169']"
227,6030504,"['14165', '14167']"
228,6030605,"['12165', '12203', '12205', '14169', '14195']"
229,6030606,"['12165', '12167', '12203', '12207', '12247']"
230,6030607,"['12203', '12205', '12207', '14167']"
231,6030608,"['12205', '12207', '14167']"
232,6030609,"['12165', '12203', '12205', '12207']"
233,6030610,"['12203', '12205', '12207', '14167', '14169']"
234,6040701,"['14109', '14129']"
235,6040702,"['14109', '14129', '14163', '14165']"
236,6040703,"['14109', '14129', '14163', '14169', '14193']"
237,6040804,"['14129', '14163', '14169', '14193']"
238,6040805,"['14163', '14169']"
239,6040806,"['14163', '14169']"
240,6040807,"['14163', '14169', '14195']"
241,6040808,"['14169', '14193', '14195']"
242,6040809,"['12203', '12205', '14169', '14195']"
243,6040810,"['12163', '14169', '14195', '14199']"
244,7010101,"['10777', '10779', '10781', '10787', '10789']"
245,7010102,"['10777', '10779', '10781', '10783', '10785', '10787', '10789']"
246,7010103,"['10779', '10781', '10783', '10823']"
247,7010104,"['10781', '10783', '10785', '10823', '10827', '10829', '10965']"
248,7020201,"['10779', '10781', '10823', '10825']"
249,7020202,"['10715', '10823', '10825', '10827', '12159']"
250,7020203,"['10781', '10823', '10825', '10827', '10829']"
251,7020204,"['10827', '10829', '10965', '12101', '12103']"
252,7030301,"['10715', '10827', '12159', '12161', '12163', '14197']"
253,7030302,"['10827', '10829', '12157', '12159', '12161']"
254,7030303,"['10827', '10829', '12105', '12157', '12159', '12169']"
255,7040401,"['10829', '10965', '12099', '12101', '12103']"
256,7040402,"['10829', '12103', '12105', '12157']"
257,7040403,"['10829', '12099', '12103', '12105', '12109']"
258,7040404,"['12105', '12169', '12247']"
259,7040405,"['12099', '12109', '12347']"
260,7040406,"['12051', '12099', '12347']"
261,7050501,"['12099', '12105', '12107', '12109', '12247', '12249']"
262,7050502,"['12107', '12249', '12277']"
263,7050503,"['12099', '12107', '12109']"
264,7050504,"['12099', '12107', '12109', '12347']"
265,7050505,"['12107', '12109', '12347', '12349']"
266,7050506,"['12107', '12277', '12305']"
267,7060601,"['12249', '12277', '12279']"
268,7060602,"['12277', '12279']"
269,7060603,"['12107', '12249', '12277', '12305', '12307']"
270,7060604,"['12209', '12277', '12279', '12307']"
271,7070701,"['12107', '12277', '12305', '12307', '12349']"
272,7070702,"['12305', '12309', '12349']"
273,7070703,"['12305', '12307', '12309']"
274,7070704,"['12305', '12309']"
275,7070705,"['12277', '12305', '12307']"
276,7070706,"['12307', '12309']"
277,7070707,['12309']
278,8010115,"['10961', '10965', '10967', '12049', '12051', '12099']"
279,8010116,"['10965', '10967', '12049']"
280,8010117,"['10965', '12049', '12053']"
281,8010118,"['12049', '12051', '12053', '12099', '12347']"
282,8010211,"['12043', '12049', '12053']"
283,8010212,"['12043', '12049', '12053']"
284,8010213,"['12043', '12049', '12051', '12053', '12055']"
285,8010214,"['12051', '12055', '12057', '12347', '12359']"
286,8010301,"['10967', '12043', '12045', '12047', '12059']"
287,8010302,"['10999', '12045', '12059', '12435']"
288,8010303,"['10967', '12043', '12045', '12047', '12049', '12053']"
289,8010404,"['12043', '12045', '12053', '12055', '12059']"
290,8010405,"['12045', '12059']"
291,8010406,"['12045', '12057', '12059']"
292,8010407,"['12057', '12059']"
293,8010508,"['12055', '12057', '12059', '12435']"
294,8010509,"['12057', '12437']"
295,8010510,"['12055', '12057', '12059', '12359', '12437']"
296,8020619,"['12051', '12057', '12347', '12359', '12437']"
297,8020620,"['12099', '12347', '12349']"
298,8020621,"['12107', '12347', '12349']"
299,8020622,"['12347', '12349', '12351', '12359']"
300,8020623,"['12351', '12357', '12359', '12437']"
301,8020624,"['12347', '12349']"
302,8020625,"['12349', '12351', '12359']"
303,8020726,"['12107', '12305', '12309', '12349']"
304,8020727,"['12309', '12349', '12353']"
305,8020728,"['12349', '12351', '12353']"
306,8030829,"['12351', '12353', '12359']"
307,8030830,"['12351', '12353']"
308,8030831,"['12351', '12353', '12355', '12357']"
309,8040932,"['12351', '12359']"
310,8040933,"['12351', '12359']"
311,8040934,"['12351', '12359']"
312,8041035,"['12351', '12353', '12357', '12359']"
313,8041036,"['12353', '12355', '12357']"
314,8041037,"['12355', '12357', '12487', '12489', '12524']"
315,8041038,"['12355', '12357']"
316,8041039,['12355']
317,8041040,"['12355', '12524']"
318,9010101,"['10997', '12045', '12059', '12435']"
319,9010102,"['10245', '12435']"
320,9010201,"['12057', '12059', '12435']"
321,9010202,"['10317', '12057', '12435', '12437', '12459']"
322,9010301,"['12057', '12437', '12439', '12459']"
323,9010302,"['12057', '12357', '12359', '12437', '12487']"
324,9010401,"['12357', '12437', '12487']"
325,9010402,"['12355', '12357', '12487', '12489']"
326,9020501,"['10318', '12437', '12439', '12459']"
327,9020502,"['10318', '12439', '12459', '12555']"
328,9020601,"['12437', '12439', '12459', '12487', '12489', '12555']"
329,9020602,"['12439', '12487', '12489']"
330,9020701,"['12355', '12439', '12487', '12489', '12524']"
331,9020702,"['12439', '12489', '12555', '12557']"
332,9020801,"['12439', '12489', '12555', '12557']"
333,9020802,"['12489', '12527', '12555', '12557']"
334,9030901,"['12355', '12489', '12524', '12526', '12527']"
335,9030902,['12524']
336,9030903,"['12524', '12526']"
337,9031001,"['12524', '12526', '12527']"
338,9031101,"['12489', '12524', '12526', '12527', '12557', '12559']"
339,9031201,"['12527', '12559']"
340,9031202,"['12527', '12559']"
341,9041301,"['12527', '12555', '12557', '12559', '12587', '12589']"
342,9041302,"['12527', '12557']"
343,9041401,"['12555', '12559']"
344,9041402,"['12559', '12587']"
345,9041501,"['12555', '12557', '12559']"
346,9041601,"['12527', '12559', '12589']"
347,9051701,"['12555', '12559', '12587']"
348,9051702,"['12559', '12587', '12589']"
349,9051801,"['12559', '12587', '12589']"
350,9051901,"['12439', '12459', '12555', '12557', '12559', '12587']"
351,9052001,"['10318', '12459', '12555', '12587', '12621', '12623', '12683']"
352,10010101,"['12681', '12689', '13057']"
353,10010102,"['12679', '12689', '13057']"
354,10010203,"['12681', '12689', '13053', '13057']"
355,10010204,"['12679', '12681', '12687', '12689']"
356,10010205,"['12629', '12679', '12689']"
357,10010206,"['12679', '12681', '12685', '12687']"
358,10010207,"['12679', '12681']"
359,10010308,"['10315', '12681', '12683', '13053']"
360,10010309,"['12681', '12683', '12685']"
361,10010310,"['12679', '12681', '12683', '12685']"
362,10010311,"['12619', '12629', '12679', '12683', '12685']"
363,10020412,"['12627', '12629', '12679', '12685']"
364,10020413,"['12619', '12627', '12629', '12685']"
365,10020414,['12627']
366,10020415,['12627']
367,10020416,['12627']
368,10020517,"['12623', '12627']"
369,10020518,"['12621', '12623', '12627']"
370,10020519,"['12619', '12621', '12627']"
371,10020620,"['12619', '12629', '12685']"
372,10020621,"['12619', '12621']"
373,10020622,"['12619', '12621', '12683']"
374,10020623,"['12619', '12621']"
375,10030724,"['12681', '12683', '12685']"
376,10030725,"['12619', '12683']"
377,10030726,"['10319', '12619', '12683']"
378,10030727,"['10318', '10319', '12555', '12621', '12683']"
379,10040828,"['12619', '12621', '12623', '12627']"
380,10040829,"['12619', '12621', '12623', '12683']"
381,10040830,"['12555', '12621', '12623', '12683']"
382,10040931,"['12621', '12623', '12627']"
383,10040932,"['12621', '12623']"
384,10040933,"['12555', '12621', '12623']"
385,11010101,"['13051', '13088', '13129']"
386,11010102,"['13051', '13057', '13059']"
387,11010103,"['12681', '12689', '13057', '13059']"
388,11010204,"['12681', '13057', '13059']"
389,11010205,"['12681', '13051', '13053', '13057', '13059']"
390,11010206,['13059']
391,11010207,"['13051', '13059']"
392,11010308,"['13051', '13053']"
393,11010309,"['13051', '13088']"
394,11010310,"['12681', '13051', '13053', '13057', '13059']"
395,11020411,"['13051', '13053', '13088']"
396,11020412,"['12681', '13053', '13055']"
397,11020513,"['10369', '13053', '13055', '13088']"
398,11020514,"['13053', '13055']"
399,11020515,"['10365', '10367', '10369', '13053', '13055']"
400,11020516,"['10315', '10365', '12681', '13053', '13055']"
401,11030617,"['10369', '10407', '13053', '13055']"
402,11030618,"['10249', '10367', '10369', '10407']"
403,11030619,"['10365', '10367', '10369']"
404,11030720,"['10315', '10365', '10367', '12681', '13055']"
405,11030721,"['10247', '10249', '10315', '10317', '10365', '10367', '10369']"
406,11030824,"['10245', '10247', '10317', '10365']"
407,11040925,"['10245', '10317', '10365']"
408,11040926,"['10315', '10317', '10319']"
409,11041022,"['10315', '10317', '10365', '12681']"
