,PLZ,PLR
66,12057,"[8010214, 8010406, 8010407, 8010508, 8010509, 9010301, 8010510, 8020619, 9010201, 9010202, 9010302]"
67,12059,"[2030401, 8010301, 8010302, 8010404, 8010405, 8010406, 8010407, 8010508, 8010510, 9010101, 9010201]"
68,12099,"[7040401, 7040403, 7040405, 7040406, 7050501, 7050503, 7050504, 8010115, 8010118, 8020620]"
69,12101,"[2020203, 7040401, 7020204]"
70,12103,"[7040401, 7040402, 7020204, 7040403]"
71,12105,"[6010204, 6010205, 6020301, 7030303, 7040402, 7040403, 7040404, 7050501]"
72,12107,"[6020301, 6020306, 7050505, 7050506, 7060603, 7050501, 7050502, 7050503, 7050504, 8020621, 7070701, 8020726]"
73,12109,"[7050505, 7040403, 7040405, 7050501, 7050503, 7050504]"
74,12157,"[6010208, 6010209, 6010210, 7030302, 7030303, 7040402]"
75,12159,"[4051655, 7020202, 7030302, 7030303, 7030301]"
76,12161,"[4041344, 4051655, 4051656, 6010103, 6010209, 7030302, 7030301]"
77,12163,"[4041344, 6010101, 6010102, 6010103, 6040810, 6010208, 6010209, 6010210, 7030301]"
78,12165,"[6010101, 6010102, 6010207, 6010208, 6030605, 6030606, 6030609]"
79,12167,"[6010205, 6010206, 6010207, 6020302, 6010208, 6030606]"
80,12169,"[6010102, 6010103, 6010204, 6010205, 6010206, 6010207, 6010208, 6010209, 6010210, 7030303, 7040404]"
81,12203,"[6010101, 6010206, 6010207, 6020409, 6030607, 6040809, 6030605, 6030606, 6030609, 6030610]"
82,12205,"[6030503, 6030607, 6040809, 6030605, 6030608, 6030609, 6030610]"
83,12207,"[6020302, 6020411, 6020409, 6020407, 6020408, 6020410, 6030607, 6030606, 6030608, 6030609, 6030610]"
84,12209,"[6020411, 6020306, 6020409, 6020304, 6020305, 6020410, 7060604]"
85,12247,"[6010205, 6010206, 6020301, 6020302, 6020409, 6020303, 6020304, 6020305, 6020410, 6030606, 7040404, 7050501]"
86,12249,"[6020301, 6020411, 6020306, 6020303, 6020304, 6020305, 6020410, 7060601, 7060603, 7050501, 7050502]"
87,12277,"[6020306, 7050506, 7060601, 7060602, 7060603, 7060604, 7050502, 7070701, 7070705]"
88,12279,"[6020411, 6020306, 7060601, 7060602, 7060604]"
89,12305,"[7050506, 7060603, 7070701, 7070702, 7070703, 7070704, 7070705, 8020726]"
90,12307,"[7060603, 7060604, 7070701, 7070703, 7070705, 7070706]"
91,12309,"[7070707, 7070702, 7070703, 7070704, 7070706, 8020726, 8020727]"
92,12347,"[7050505, 7040405, 7040406, 7050504, 8010118, 8010214, 8020620, 8020621, 8020622, 8020619, 8020624]"
93,12349,"[7050505, 8020620, 8020621, 7070701, 7070702, 8020622, 8020624, 8020625, 8020726, 8020727, 8020728]"
94,12351,"[8020622, 8020623, 8030830, 8030831, 8040932, 8020625, 8020728, 8030829, 8040933, 8040934, 8041035]"
95,12353,"[8030830, 8030831, 8020727, 8020728, 8030829, 8041035, 8041036]"
96,12355,"[8030831, 8041040, 9010402, 8041036, 8041037, 8041038, 8041039, 9030901, 9020701]"
97,12357,"[8020623, 8030831, 9010401, 9010402, 8041035, 8041036, 8041037, 8041038, 9010302]"
98,12359,"[8010214, 8020622, 8020623, 8040932, 8010510, 8020619, 8020625, 8030829, 8040933, 8040934, 8041035, 9010302]"
99,12435,"[2030402, 2030401, 2050804, 2050803, 8010302, 8010508, 9010101, 9010102, 9010201, 9010202, 11051229]"
100,12437,"[8010509, 8020623, 9010301, 9010401, 8010510, 8020619, 9020501, 9020601, 9010202, 9010302, 11051229]"
101,12439,"[9010301, 9020501, 9020502, 9020601, 9020801, 9051901, 9020602, 9020701, 9020702]"
102,12459,"[9010301, 9020501, 9020502, 9020601, 9010202, 9051901, 9052001, 11051229, 11051331, 11051332]"
